,Model,mae_test,mae_train,mape_test,mape_train,r2_test,r2_train,rms_test,rms_train
0,Regression,19.344145428622348,19.27500742721331,39.111447345249196,38.360795271031414,0.4827885434004392,0.4544868816016402,30.854667254561033,30.95478242441401
0,RandomForest,18.83645478989252,7.034843059753546,38.567247921950724,14.018759142891774,0.5179573773737709,0.9278954571709014,29.787188889418445,11.25398858055861
0,GradientBoostingRegressor,18.164072502704677,17.187742566969014,36.76914092115979,34.865982440882284,0.5462024381425612,0.5917443439082811,28.90133328337419,26.778809236160438
0,XGBoost,18.299371384529056,17.951326172817907,37.15805700718807,36.07218032914879,0.5391497261463819,0.5369712375273876,29.125052980627178,28.51866167351908
0,XGBoostGridSearch,17.842516114379904,16.918498453807775,34.66999842906606,32.95636852418036,0.53346026183628,0.5799803390581169,29.304284346660346,27.1618887658592
0,XGBoostRegressor,17.954105844601358,16.46059133038943,36.422296445810105,33.83548646634711,0.5530941300285899,0.632312564387579,28.681035603357245,25.413504100444715
0,LightGradientBoosting,20.48597886309979,20.194558617907486,44.75546253368145,44.11186875515733,0.4350558741145223,0.435131502262903,32.24701709007269,31.49914995248228
